,time,open,high,low,close,volume,ticker
65,4/8/2016,15880,16700,15780,16520,82104,VCS
66,4/11/2016,16520,17200,16520,17060,86810,VCS
67,4/12/2016,17410,17410,16880,16880,47000,VCS
68,4/13/2016,16880,16880,16329,16370,105600,VCS
69,4/14/2016,16400,16600,16390,16420,58800,VCS
70,4/15/2016,16420,16570,16329,16329,61610,VCS
71,4/19/2016,16329,16770,16329,16440,86530,VCS
72,4/20/2016,16700,16700,16390,16560,50600,VCS
73,4/21/2016,16570,17210,16560,17030,86968,VCS
74,4/22/2016,17060,18320,17060,18110,221712,VCS
75,4/25/2016,18320,19420,18150,19060,134746,VCS
76,4/26/2016,19060,19060,18510,18960,56155,VCS
77,4/27/2016,18870,18870,18150,18320,93118,VCS
78,4/28/2016,18320,18560,17980,18510,48900,VCS
79,4/29/2016,18550,19110,18490,19060,67130,VCS
80,5/4/2016,19060,19770,19060,19610,128911,VCS
81,5/5/2016,19770,19930,19420,19690,99108,VCS
82,5/6/2016,19710,19770,19350,19390,71040,VCS
83,5/9/2016,19060,19570,19060,19140,74418,VCS
84,5/10/2016,19240,19420,18510,18870,113252,VCS
85,5/11/2016,19660,20750,19570,19940,145163,VCS
86,5/12/2016,20120,20820,20010,20820,167510,VCS
87,5/13/2016,20580,21530,20350,21090,156744,VCS
88,5/16/2016,21170,21720,21050,21610,175410,VCS
89,5/17/2016,21580,21740,21280,21490,104400,VCS
90,5/18/2016,21350,21510,21090,21360,72200,VCS
91,5/19/2016,21360,21470,20900,20950,154150,VCS
92,5/20/2016,20840,21510,20840,21510,44401,VCS
93,5/23/2016,21510,21950,21510,21530,34800,VCS
94,5/24/2016,21530,21720,21280,21280,37702,VCS
95,5/25/2016,21280,21530,21050,21060,61220,VCS
96,5/26/2016,20930,21280,20930,21140,68908,VCS
97,5/27/2016,21250,21360,20980,20980,37941,VCS
98,5/30/2016,20930,21330,20840,21250,54000,VCS
99,5/31/2016,21050,21360,21050,21200,47900,VCS
100,6/1/2016,21170,21230,21050,21050,46647,VCS
101,6/2/2016,21280,22640,21170,22640,123210,VCS
102,6/3/2016,23590,23590,22660,22950,39920,VCS
103,6/6/2016,22950,22950,22000,22460,67251,VCS
104,6/7/2016,22020,22850,22020,22440,38190,VCS
105,6/8/2016,22780,22880,22550,22550,48764,VCS
106,6/9/2016,22550,22880,21740,22820,78560,VCS
107,6/10/2016,22820,22820,22440,22780,28761,VCS
108,6/13/2016,22500,22620,22330,22440,33010,VCS
109,6/14/2016,22330,22760,22200,22660,56680,VCS
110,6/15/2016,22200,23820,22060,23130,145246,VCS
111,6/16/2016,23010,23250,22900,22920,111619,VCS
112,6/17/2016,22690,22880,22480,22660,79214,VCS
113,6/20/2016,22660,24040,22550,23590,110460,VCS
114,6/21/2016,23590,24160,23590,23800,107915,VCS
115,6/22/2016,23800,23920,23410,23590,37741,VCS
116,6/23/2016,23440,24160,23410,23820,38832,VCS
117,6/24/2016,23590,23760,21440,23130,345435,VCS
118,6/27/2016,22900,23150,22200,22660,79688,VCS
119,6/28/2016,22660,22920,22440,22900,48394,VCS
120,6/29/2016,22900,23710,22850,23570,98493,VCS
121,6/30/2016,23820,24520,23590,24060,203912,VCS
122,7/1/2016,24060,24870,24060,24410,113159,VCS
123,7/4/2016,24410,24870,24410,24740,94629,VCS
124,7/5/2016,24740,25020,24470,24640,85697,VCS
125,7/6/2016,24410,24740,24410,24740,158786,VCS
126,7/7/2016,24740,25680,24740,25450,139679,VCS
127,7/8/2016,25450,25930,24740,25220,90333,VCS
128,7/11/2016,24970,24970,23710,23740,210532,VCS
129,7/12/2016,23680,24340,23590,24060,99707,VCS
130,7/13/2016,24060,24700,24060,24520,43538,VCS
131,7/14/2016,24520,24520,23820,23820,119128,VCS
132,7/15/2016,23590,23800,22820,23360,134161,VCS
133,7/18/2016,23820,23820,23360,23800,28124,VCS
134,7/19/2016,23820,23820,23130,23570,58872,VCS
135,7/20/2016,23130,23490,23060,23110,95830,VCS
136,7/21/2016,23110,24410,23110,23130,89686,VCS
137,7/22/2016,23130,23150,22780,23130,64737,VCS
138,7/25/2016,23130,23450,22810,22820,34475,VCS
139,7/26/2016,23360,23570,22660,23480,73520,VCS
140,7/27/2016,23590,24060,23480,23860,73312,VCS
141,7/28/2016,23590,24060,23590,23920,44396,VCS
142,7/29/2016,23820,24290,23820,24290,42140,VCS
143,8/1/2016,24290,24340,23360,23960,69450,VCS
144,8/2/2016,23590,23710,23150,23250,50715,VCS
145,8/3/2016,23250,23590,23130,23550,46375,VCS
146,8/4/2016,23590,23710,23360,23360,33247,VCS
147,8/5/2016,23360,23590,22780,23590,65797,VCS
148,8/8/2016,25220,25220,23200,23590,25123,VCS
149,8/9/2016,23590,25090,23590,24740,220817,VCS
150,8/10/2016,24440,24960,24440,24570,70306,VCS
151,8/11/2016,24340,25200,24340,25070,80843,VCS
152,8/12/2016,25070,25070,24540,24720,61309,VCS
153,8/15/2016,24470,24720,24410,24700,60336,VCS
154,8/16/2016,24740,25220,24720,24930,129450,VCS
155,8/17/2016,24970,26830,24870,26550,219039,VCS
156,8/18/2016,26530,27760,26530,27660,103524,VCS
157,8/19/2016,27690,27690,26650,26830,57424,VCS
158,8/22/2016,26610,26830,26370,26460,80980,VCS
159,8/23/2016,26460,27180,26460,26790,61602,VCS
160,8/24/2016,26790,27030,26610,26830,56814,VCS
161,8/25/2016,26830,27520,26830,27520,82820,VCS
162,8/26/2016,27280,28440,27180,27640,59774,VCS
163,8/29/2016,27640,28260,27280,27280,71819,VCS
164,8/30/2016,27280,27990,27240,27990,46123,VCS
165,8/31/2016,28040,28400,27770,28330,49739,VCS
166,9/1/2016,28440,29150,28440,29150,98588,VCS
167,9/5/2016,29150,29840,28800,29440,87663,VCS
168,9/6/2016,29370,30300,29370,30300,93110,VCS
169,9/7/2016,30300,30990,29840,30490,52974,VCS
170,9/8/2016,30530,30990,30300,30530,42093,VCS
171,9/9/2016,30650,30650,29840,29900,78720,VCS
172,9/12/2016,29900,30300,29600,29700,46423,VCS
173,9/13/2016,29600,30410,29580,30300,45044,VCS
174,9/14/2016,30180,30650,30180,30650,47020,VCS
175,9/15/2016,30990,32090,30760,32090,87593,VCS
176,9/16/2016,32390,34000,32390,33420,86513,VCS
177,9/19/2016,34700,34700,32610,33060,59643,VCS
178,9/20/2016,33060,33770,32729,33560,32424,VCS
179,9/21/2016,33580,33880,33310,33650,57053,VCS
180,9/22/2016,33770,34200,33580,33580,66278,VCS
181,9/23/2016,33540,34000,33360,33880,25322,VCS
182,9/26/2016,33880,34220,33770,33980,22280,VCS
183,9/27/2016,33950,34000,33800,33820,28605,VCS
184,9/28/2016,34000,34330,33880,34070,64849,VCS
185,9/29/2016,34330,34350,33770,33980,45660,VCS
186,9/30/2016,33980,35150,33980,34700,94937,VCS
187,10/3/2016,34940,38090,34940,37720,111166,VCS
188,10/4/2016,37750,37830,36100,36890,102099,VCS
189,10/5/2016,36370,37300,36230,37170,54743,VCS
190,10/6/2016,39810,39810,36890,37170,95885,VCS
191,10/7/2016,37350,37560,35520,36630,125873,VCS
192,10/10/2016,36630,36630,35170,35300,66879,VCS
193,10/11/2016,35030,35840,33980,35840,132602,VCS
194,10/12/2016,35840,36230,35700,35860,23747,VCS
195,10/13/2016,36340,36340,35350,36080,22974,VCS
196,10/14/2016,36200,36440,35700,36370,59960,VCS
197,10/17/2016,36570,37140,36570,36660,47105,VCS
198,10/18/2016,36400,36570,36100,36570,22190,VCS
199,10/19/2016,36570,36960,36570,36660,42052,VCS
200,10/20/2016,36890,37030,36630,36690,86030,VCS
201,10/21/2016,36890,36890,35960,35960,43847,VCS
202,10/24/2016,35840,35930,34500,34500,80758,VCS
203,10/25/2016,34240,35260,33450,34850,167994,VCS
204,10/26/2016,34500,35260,34500,34940,26513,VCS
205,10/27/2016,34970,35260,34820,35140,30840,VCS
206,10/28/2016,35140,35550,34820,35460,43094,VCS
207,10/31/2016,35300,35550,34970,35030,34110,VCS
208,11/1/2016,34800,35030,34500,34770,64008,VCS
209,11/2/2016,34480,34770,34240,34270,70210,VCS
210,11/3/2016,34270,34480,33450,33980,99729,VCS
211,11/4/2016,33980,34090,33510,33510,50450,VCS
212,11/7/2016,33510,33980,33510,33870,81715,VCS
213,11/8/2016,33980,35010,33980,34410,31703,VCS
214,11/9/2016,34410,34410,32650,33560,95777,VCS
215,11/10/2016,34500,34850,34060,34850,48123,VCS
216,11/11/2016,34500,35010,34380,34770,28734,VCS
217,11/14/2016,34770,34770,34120,34150,44377,VCS
218,11/15/2016,34240,34650,34180,34480,34904,VCS
219,11/16/2016,34770,34770,34330,34650,6551,VCS
220,11/17/2016,34500,34560,34380,34440,13207,VCS
221,11/18/2016,34240,34410,33860,33870,29274,VCS
222,11/21/2016,33870,33870,33530,33530,27401,VCS
223,11/22/2016,33560,33660,33180,33180,52828,VCS
224,11/23/2016,33710,33710,32780,33180,73382,VCS
225,11/24/2016,33180,33580,33000,33450,38994,VCS
226,11/25/2016,33450,33690,33180,33340,41986,VCS
227,11/28/2016,33060,33180,32220,32390,60862,VCS
228,11/29/2016,32390,32509,30530,30530,124385,VCS
229,11/30/2016,30530,32650,29200,31850,84753,VCS
230,12/1/2016,31060,31880,31060,31590,16392,VCS
231,12/2/2016,32509,32509,31190,31270,20197,VCS
232,12/5/2016,30800,31320,30320,31090,46527,VCS
233,12/6/2016,31060,31060,30400,30400,34355,VCS
234,12/7/2016,30530,31850,30530,31290,62963,VCS
235,12/8/2016,31320,31320,31060,31060,20747,VCS
236,12/9/2016,31320,33710,31320,33710,130050,VCS
237,12/12/2016,33710,34500,33510,33920,42522,VCS
238,12/13/2016,33980,33980,32390,32650,47087,VCS
239,12/14/2016,32910,33450,32650,32940,89671,VCS
240,12/15/2016,32729,33450,32729,33050,61827,VCS
241,12/16/2016,33580,34500,33090,34500,68260,VCS
242,12/19/2016,34770,35840,34770,35030,68305,VCS
243,12/20/2016,35010,35700,34800,35030,66443,VCS
244,12/21/2016,35030,35440,34940,35200,52873,VCS
245,12/22/2016,35170,35570,33450,34730,202548,VCS
246,12/23/2016,34500,34650,33480,33800,66620,VCS
247,12/26/2016,33800,34300,33740,33770,35731,VCS
248,12/27/2016,33710,33920,33710,33830,28068,VCS
249,12/28/2016,34530,35030,34270,34480,73508,VCS
250,12/29/2016,34380,34590,34240,34380,45290,VCS
251,12/30/2016,34410,34410,34090,34090,19711,VCS
252,1/3/2017,33980,34240,33800,34090,35310,VCS
253,1/4/2017,34090,34090,33920,34010,26979,VCS
254,1/5/2017,33980,34210,33770,33980,33432,VCS
255,1/6/2017,33740,33950,33360,33690,44099,VCS
256,1/9/2017,33450,33710,32650,32650,39193,VCS
257,1/10/2017,34480,34480,32390,32910,64074,VCS
258,1/11/2017,33340,33340,32570,32890,15680,VCS
259,1/12/2017,32910,33290,32910,33060,31972,VCS
260,1/13/2017,33060,33060,32729,32860,17910,VCS
261,1/16/2017,32910,33050,32780,32830,37677,VCS
262,1/17/2017,32540,32910,32540,32800,20665,VCS
263,1/18/2017,32800,32890,32509,32650,18970,VCS
264,1/19/2017,32650,33980,32590,32910,45101,VCS
265,1/20/2017,34500,34500,33180,33310,40019,VCS
266,1/23/2017,34180,34180,33360,33450,28185,VCS
267,1/24/2017,33210,34030,33210,34030,24105,VCS
268,1/25/2017,34030,34460,34030,34240,33931,VCS
269,2/2/2017,34240,34500,33210,34170,12477,VCS
270,2/3/2017,33770,34180,33610,33690,19003,VCS
271,2/6/2017,33510,34150,33180,33980,31058,VCS
272,2/7/2017,34170,35440,33710,35350,153381,VCS
273,2/8/2017,35350,35780,35290,35590,40395,VCS
274,2/9/2017,35590,35960,35200,35780,46856,VCS
275,2/10/2017,35760,37030,35760,36890,70920,VCS
276,2/13/2017,36890,37900,36410,37430,56555,VCS
277,2/14/2017,37690,37960,37170,37430,107941,VCS
278,2/15/2017,37430,37960,37170,37690,66808,VCS
279,2/16/2017,37690,38410,37250,37250,69888,VCS
280,2/17/2017,37250,38090,36890,38090,89708,VCS
