,time,open,high,low,close,volume,ticker
43,3/9/2016,12850,12850,12690,12750,588470,REE
44,3/10/2016,12850,12850,12690,12750,351840,REE
45,3/11/2016,12750,12960,12750,12800,822890,REE
46,3/14/2016,12850,12850,12750,12850,326330,REE
47,3/15/2016,12850,12850,12690,12690,309580,REE
48,3/16/2016,12690,12800,12650,12750,303630,REE
49,3/17/2016,12900,13010,12850,12900,679050,REE
50,3/18/2016,12900,12900,12850,12850,197020,REE
51,3/21/2016,12850,12900,12750,12750,201410,REE
52,3/22/2016,12750,12750,12650,12690,109230,REE
53,3/23/2016,12800,12800,12690,12750,308270,REE
54,3/24/2016,12750,12850,12750,12750,368810,REE
55,3/25/2016,12750,12800,12650,12650,314270,REE
56,3/28/2016,12650,12650,12590,12590,203570,REE
57,3/29/2016,12590,12800,12540,12590,269020,REE
58,3/30/2016,12590,12750,12590,12690,132490,REE
59,3/31/2016,12800,12800,12590,12590,264010,REE
60,4/1/2016,12590,12590,12390,12430,232340,REE
61,4/4/2016,12390,12490,12290,12340,160070,REE
62,4/5/2016,12340,12390,12230,12290,170040,REE
63,4/6/2016,12290,12340,12230,12340,77480,REE
64,4/7/2016,12430,12430,12290,12340,91700,REE
65,4/8/2016,12390,12390,12230,12230,153610,REE
66,4/11/2016,12230,12340,12230,12290,234460,REE
67,4/12/2016,12340,12340,12230,12290,146100,REE
68,4/13/2016,12290,12340,12170,12170,101750,REE
69,4/14/2016,12170,12340,12170,12170,143120,REE
70,4/15/2016,12230,12290,12030,12030,196570,REE
71,4/19/2016,12030,12030,11830,11830,319430,REE
72,4/20/2016,11870,11920,11780,11780,223870,REE
73,4/21/2016,11780,11870,11780,11870,141050,REE
74,4/22/2016,11980,12290,11870,12290,483960,REE
75,4/25/2016,12390,12490,12230,12230,478630,REE
76,4/26/2016,12230,12290,12170,12290,151750,REE
77,4/27/2016,12290,12290,12170,12230,295860,REE
78,4/28/2016,12290,12290,12120,12170,202190,REE
79,4/29/2016,12230,12230,12120,12170,285790,REE
80,5/4/2016,12120,12170,12070,12120,242080,REE
81,5/5/2016,12120,12340,12070,12290,429050,REE
82,5/6/2016,12340,12390,12290,12390,280590,REE
83,5/9/2016,12390,12390,12230,12230,222850,REE
84,5/10/2016,12230,12290,12120,12170,195480,REE
85,5/11/2016,12480,12480,12300,12420,398510,REE
86,5/12/2016,12480,12480,12360,12360,239100,REE
87,5/13/2016,12420,12420,12230,12230,233430,REE
88,5/16/2016,12300,12360,12170,12170,180680,REE
89,5/17/2016,12230,12480,12230,12420,406210,REE
90,5/18/2016,12480,12540,12420,12420,430010,REE
91,5/19/2016,12420,12480,12300,12360,332790,REE
92,5/20/2016,12480,12480,12360,12360,122590,REE
93,5/23/2016,12420,12540,12300,12300,274580,REE
94,5/24/2016,12480,12540,12360,12360,274420,REE
95,5/25/2016,12600,12600,12360,12480,203390,REE
96,5/26/2016,12600,12600,12360,12360,205030,REE
97,5/27/2016,12480,12480,12420,12420,203020,REE
98,5/30/2016,12420,12420,12360,12420,98040,REE
99,5/31/2016,12420,12420,12300,12300,159940,REE
100,6/1/2016,12300,12420,12300,12300,90700,REE
101,6/2/2016,12360,12360,12230,12300,91000,REE
102,6/3/2016,12300,12360,12230,12300,63940,REE
103,6/6/2016,12300,12300,12170,12230,145930,REE
104,6/7/2016,12480,12480,12230,12360,245210,REE
105,6/8/2016,12360,12420,12230,12420,275480,REE
106,6/9/2016,12420,12420,12300,12360,84680,REE
107,6/10/2016,12420,12890,12360,12770,1195360,REE
108,6/13/2016,12710,12770,12600,12660,394040,REE
109,6/14/2016,12480,12660,12480,12660,185210,REE
110,6/15/2016,12660,12660,12540,12660,327440,REE
111,6/16/2016,12660,12660,12480,12540,381690,REE
112,6/17/2016,12480,12540,12420,12420,238390,REE
113,6/20/2016,12420,12480,12230,12360,170290,REE
114,6/21/2016,12360,12660,12360,12540,457850,REE
115,6/22/2016,12480,12710,12480,12710,442890,REE
116,6/23/2016,12660,12710,12540,12660,287990,REE
117,6/24/2016,12660,12660,11890,12230,723100,REE
118,6/27/2016,12060,12110,11950,12000,267010,REE
119,6/28/2016,12060,12110,12000,12110,88370,REE
120,6/29/2016,12170,12300,12110,12170,198620,REE
